iter	Passed	Remaining
404	10951	16089
405	10980	16065
406	11008	16039
407	11037	16014
408	11064	15988
409	11093	15964
410	11116	15931
411	11140	15899
412	11166	15870
413	11195	15846
414	11223	15821
415	11252	15796
416	11274	15762
417	11301	15735
418	11329	15710
419	11358	15685
420	11388	15662
421	11416	15636
422	11447	15614
423	11474	15588
424	11500	15560
425	11524	15528
426	11551	15500
427	11578	15473
428	11609	15451
429	11636	15424
430	11665	15400
431	11691	15372
432	11718	15345
433	11745	15318
434	11770	15287
435	11802	15267
436	11828	15238
437	11855	15211
438	11881	15183
439	11908	15155
440	11932	15124
441	11958	15096
442	11985	15070
443	12012	15043
444	12040	15016
445	12068	14990
446	12096	14964
447	12125	14940
448	12155	14916
449	12179	14886
450	12208	14861
451	12234	14833
452	12258	14802
453	12291	14781
454	12316	14752
455	12343	14725
456	12369	14696
457	12401	14675
458	12424	14643
459	12452	14618
460	12478	14589
461	12504	14561
462	12527	14529
463	12558	14507
464	12586	14481
465	12614	14455
466	12640	14427
467	12668	14401
468	12700	14379
469	12726	14350
470	12751	14322
471	12780	14297
472	12807	14270
473	12835	14243
474	12861	14214
475	12889	14189
476	12917	14162
477	12942	14134
478	12967	14104
479	12998	14081
480	13027	14056
481	13054	14029
482	13082	14003
483	13114	13981
484	13139	13952
485	13166	13924
486	13195	13899
487	13222	13873
488	13252	13848
489	13279	13821
490	13308	13796
491	13333	13767
492	13359	13738
493	13386	13712
494	13419	13690
495	13448	13665
496	13472	13634
497	13498	13607
498	13527	13582
499	13554	13554
500	13584	13529
501	13610	13501
502	13633	13470
503	13661	13445
504	13691	13420
505	13716	13391
506	13743	13363
507	13770	13336
508	13797	13309
509	13827	13284
510	13858	13261
511	13883	13232
512	13913	13208
513	13941	13182
514	13967	13153
515	13995	13127
516	14026	13103
517	14059	13082
518	14088	13057
519	14117	13031
520	14145	13005
521	14172	12977
522	14197	12948
523	14221	12918
524	14246	12889
525	14272	12861
526	14297	12832
527	14320	12801
528	14346	12773
529	14375	12747
530	14401	12719
531	14430	12694
532	14455	12665
533	14483	12639
534	14511	12612
535	14564	12608
536	14597	12586
537	14623	12558
538	14650	12530
539	14678	12503
540	14698	12470
541	14726	12444
542	14757	12419
543	14785	12393
544	14815	12368
545	14840	12340
546	14869	12314
547	14898	12288
548	14928	12263
549	14951	12233
550	14980	12207
551	15010	12182
552	15036	12154
553	15065	12128
554	15092	12101
555	15119	12074
556	15145	12045
557	15176	12021
558	15206	11996
559	15232	11968
560	15261	11942
561	15284	11912
562	15315	11887
563	15346	11863
564	15378	11840
565	15408	11814
566	15436	11788
567	15466	11763
568	15495	11737
569	15525	11712
570	15552	11684
571	15575	11654
572	15606	11629
573	15630	11600
574	15660	11575
575	15689	11549
576	15720	11524
577	15749	11498
578	15776	11471
579	15803	11444
580	15832	11417
581	15862	11392
582	15889	11364
583	15915	11336
584	15946	11312
585	15976	11287
586	16004	11260
587	16034	11234
588	16063	11208
589	16092	11182
590	16120	11155
591	16144	11126
592	16175	11102
593	16206	11076
594	16233	11049
595	16264	11024
596	16292	10997
597	16327	10976
598	16364	10954
599	16389	10926
600	16413	10896
601	16438	10868
602	16471	10844
603	16498	10816
604	16528	10791
605	16556	10764
606	16588	10740
607	16618	10714
608	16646	10687
609	16676	10661
610	16707	10636
611	16735	10610
612	16762	10582
613	16789	10554
614	16814	10526
615	16845	10501
616	16870	10472
617	16898	10445
618	16925	10417
619	16952	10390
620	16977	10361
621	17002	10332
622	17033	10307
623	17062	10281
624	17088	10253
625	17118	10227
626	17147	10201
627	17171	10171
628	17198	10143
629	17223	10115
630	17252	10088
631	17276	10059
632	17302	10031
633	17327	10003
634	17356	9976
635	17383	9949
636	17405	9918
637	17429	9889
638	17458	9863
639	17486	9835
640	17516	9810
641	17548	9785
642	17579	9760
643	17608	9733
644	17635	9706
645	17667	9681
646	17698	9656
647	17726	9629
648	17751	9600
649	17772	9570
650	17799	9542
651	17827	9515
652	17857	9489
653	17885	9462
654	17911	9434
655	17941	9408
656	17969	9381
657	17993	9352
658	18018	9323
659	18050	9298
660	18077	9271
661	18110	9246
662	18137	9219
663	18167	9193
664	18192	9164
665	18221	9138
666	18249	9111
667	18275	9082
668	18303	9055
669	18329	9028
670	18356	9000
671	18382	8972
672	18409	8944
673	18436	8917
674	18464	8890
675	18492	8863
676	18522	8837
677	18553	8811
678	18581	8784
679	18606	8756
680	18636	8730
681	18665	8703
682	18691	8675
683	18720	8648
684	18755	8624
685	18781	8596
686	18814	8571
687	18837	8542
688	18864	8515
689	18894	8488
690	18923	8462
691	18951	8435
692	18984	8410
693	19010	8382
694	19037	8354
695	19063	8326
696	19088	8298
697	19117	8271
698	19140	8242
699	19171	8216
700	19198	8188
701	19224	8160
702	19252	8133
703	19278	8105
704	19303	8077
705	19330	8049
706	19358	8022
707	19384	7994
708	19410	7966
709	19441	7940
710	19472	7914
711	19498	7886
712	19523	7858
713	19554	7832
714	19579	7804
715	19606	7776
716	19635	7750
717	19665	7723
718	19692	7696
719	19720	7669
720	19748	7641
721	19780	7616
722	19805	7588
723	19837	7562
724	19866	7535
725	19889	7506
726	19917	7479
727	19942	7451
728	19974	7425
729	20001	7397
730	20032	7371
731	20056	7343
732	20087	7317
733	20115	7289
734	20144	7263
735	20170	7235
736	20198	7207
737	20225	7180
738	20251	7152
739	20278	7125
740	20306	7097
741	20335	7070
742	20367	7044
743	20394	7017
744	20426	6991
745	20452	6963
746	20481	6936
747	20505	6908
748	20536	6881
749	20564	6854
750	20591	6827
751	20618	6799
752	20648	6773
753	20681	6747
754	20706	6719
755	20736	6692
756	20765	6665
757	20790	6637
758	20817	6609
759	20850	6584
760	20876	6556
761	20906	6529
762	20935	6502
763	20961	6475
764	20992	6448
765	21017	6420
766	21045	6393
767	21069	6364
768	21095	6337
769	21123	6309
770	21150	6282
771	21180	6255
772	21212	6229
773	21238	6201
774	21263	6173
775	21294	6146
776	21321	6119
777	21351	6092
778	21379	6065
779	21407	6037
780	21434	6010
781	21466	5984
782	21494	5956
783	21522	5929
784	21550	5902
785	21575	5874
786	21599	5845
787	21627	5818
788	21653	5790
789	21683	5763
790	21717	5738
791	21744	5710
792	21799	5690
793	21834	5664
794	21864	5638
795	21894	5611
796	21923	5583
797	21955	5557
798	21981	5529
799	22011	5502
800	22042	5476
801	22067	5447
802	22096	5420
803	22122	5393
804	22149	5365
805	22179	5338
806	22211	5312
807	22239	5284
808	22267	5257
809	22303	5231
810	22332	5204
811	22361	5177
812	22387	5149
813	22413	5121
814	22443	5094
815	22473	5067
816	22502	5040
817	22534	5013
818	22563	4986
819	22591	4959
820	22615	4930
821	22645	4903
822	22672	4876
823	22702	4849
824	22730	4821
825	22757	4793
826	22786	4766
827	22812	4738
828	22839	4711
829	22864	4683
830	22891	4655
831	22922	4628
832	22944	4599
833	22968	4571
834	22995	4544
835	23022	4516
836	23054	4489
837	23081	4462
838	23110	4434
839	23140	4407
840	23166	4379
841	23192	4352
842	23223	4325
843	23247	4296
844	23275	4269
845	23303	4242
846	23329	4214
847	23354	4186
848	23376	4157
849	23403	4130
850	23430	4102
851	23459	4075
852	23485	4047
853	23512	4019
854	23546	3993
855	23573	3965
856	23602	3938
857	23633	3911
858	23661	3883
859	23692	3856
860	23720	3829
861	23743	3801
862	23773	3774
863	23803	3746
864	23825	3718
865	23850	3690
866	23876	3662
867	23907	3635
868	23938	3608
869	23967	3581
870	23996	3554
871	24026	3526
872	24054	3499
873	24082	3471
874	24107	3443
875	24132	3416
876	24158	3388
877	24187	3360
878	24214	3333
879	24242	3305
880	24269	3278
881	24293	3250
882	24322	3222
883	24352	3195
884	24377	3167
885	24404	3140
886	24431	3112
887	24457	3084
888	24486	3057
889	24512	3029
890	24540	3002
891	24570	2974
892	24595	2947
893	24623	2919
894	24654	2892
895	24679	2864
896	24705	2836
897	24734	2809
898	24765	2782
899	24793	2754
900	24817	2726
901	24843	2699
902	24871	2671
903	24896	2643
904	24924	2616
905	24951	2588
906	24980	2561
907	25005	2533
908	25033	2506
909	25069	2479
910	25096	2451
911	25123	2424
912	25147	2396
913	25172	2368
914	25202	2341
915	25232	2313
916	25260	2286
917	25287	2258
918	25313	2231
919	25341	2203
920	25366	2175
921	25389	2147
922	25413	2120
923	25440	2092
924	25464	2064
925	25489	2036
926	25514	2009
927	25541	1981
928	25566	1953
929	25597	1926
930	25622	1898
931	25649	1871
932	25679	1844
933	25706	1816
934	25736	1789
935	25763	1761
936	25791	1734
937	25817	1706
938	25845	1678
939	25870	1651
940	25898	1623
941	25924	1596
942	25951	1568
943	25979	1541
944	26010	1513
945	26035	1486
946	26065	1458
947	26093	1431
948	26122	1403
949	26149	1376
950	26188	1349
951	26229	1322
952	26259	1295
953	26290	1267
954	26323	1240
955	26351	1212
956	26378	1185
957	26405	1157
958	26427	1129
959	26454	1102
960	26479	1074
961	26504	1046
962	26529	1019
963	26553	991
964	26580	964
965	26609	936
966	26633	908
967	26658	881
968	26685	853
969	26716	826
970	26743	798
971	26774	771
972	26801	743
973	26823	716
974	26851	688
975	26876	660
976	26905	633
977	26933	605
978	26959	578
979	26989	550
980	27021	523
981	27051	495
982	27074	468
983	27106	440
984	27134	413
985	27166	385
986	27196	358
987	27224	330
988	27252	303
989	27281	275
990	27312	248
991	27340	220
992	27372	192
993	27399	165
994	27428	137
995	27455	110
996	27482	82
997	27510	55
998	27539	27
999	27568	0
